Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID5922003725,2,6,4,-37.7874325,144.9803767,-37.799747100000005,145.0021397,3487.0,2018-02-28,17:28:18,866.0,17:42:44,92.63
ID3843751393,1,2,6,-37.8204191,144.926592,-37.7874325,144.9803767,7864.0,2018-07-25,01:27:30,2008.0,2:00:58,22.52
ID3705064031,1,2,3,-37.8204843,144.9493105,-37.8223921,144.9701332,2401.0,2018-04-23,02:03:06,607.0,2:13:13,18.98
ID3527854618,1,8,5,-37.807202000000004,145.0266373,-37.8102505,144.93592569999998,8852.0,2018-07-25,14:48:46,2226.0,15:25:52,19.92
ID3153514685,1,7,5,-37.8618349,144.90571599999998,-37.8074205,144.9292428,11428.0,2018-04-24,08:34:45,3656.0,9:35:41,16.52
ID3659078083,1,3,7,-37.8262281,144.9956458,-37.8618349,144.90571599999998,10089.0,2018-06-19,15:34:23,3263.0,16:28:46,22.59
ID3617308307,1,2,9,-37.823156899999994,144.9382363,-38.1109156,144.65417250000002,43028.0,2018-06-19,00:55:51,10355.0,3:48:26,53.04
ID3187151390,1,7,5,-37.8618349,144.90571599999998,-37.804452000000005,144.9262237,11569.0,2018-01-12,03:15:05,3740.0,4:17:25,28.11
ID5974687808,2,7,3,-37.8618349,144.90571599999998,-37.822614,145.0000425,10588.0,2018-05-20,02:36:55,3345.0,3:32:40,310.94
ID3349446658,1,6,9,-37.7874421,144.9804091,-38.1109156,144.65417250000002,47035.0,2018-06-18,04:05:47,11407.0,7:15:54,53.84
ID1754755331,0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-06-20,08:32:22,4917.0,9:54:19,8.29
ID1722471388,0,8,3,-37.8158343,145.04645,-37.8231775,144.9884654,6307.0,2018-04-11,05:09:38,1853.0,5:40:31,12.88
ID5246236154,2,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-07-15,09:25:43,13173.0,13:05:16,1097.04
ID5301400596,2,8,3,-37.807202000000004,145.0266373,-37.824267600000006,144.99147580000002,5513.0,2018-06-11,02:58:19,1361.0,3:21:00,140.25
ID3595345688,1,9,6,-38.1109156,144.65417250000002,-37.7907967,144.985865,47193.0,2018-07-04,15:59:44,11535.0,19:11:59,47.46
ID3484729866,1,7,8,-37.8618349,144.90571599999998,-37.807202000000004,145.0266373,13986.0,2018-04-09,18:20:37,4292.0,19:32:09,25.35
