,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1417729091,0.0,2,4,-37.8206237,144.9415725,-37.8008412,145.0148545,7872.0,2018-01-15,22:17:23,2060.8200000000006,22:51:43,14.43
ID1349359534,,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-07-28,13:32:58,4917.479999999999,14:54:55,19.0
ID3511945378,,1,4,-37.810523,144.9760538,-37.8163257,145.0088873,3465.0,2018-01-24,15:17:22,862.9800000000002,15:31:44,14.74
ID1495524575,0.0,7,1,-37.8618349,144.905716,-37.8198852,144.9577337,7953.0,2018-05-23,07:28:48,2775.9599999999987,8:15:03,8.82
ID3896182652,1.0,8,5,-37.8158343,145.04645,-37.8067703,144.9323875,10380.0,2018-05-11,07:26:35,2930.8199999999983,8:15:25,17.34
ID1684291666,0.0,1,8,-37.8208173,144.9616649,-37.8158343,145.04645,8170.0,2018-04-01,00:44:14,2406.4800000000005,1:24:20,19.02
ID3790371284,,8,1,-37.8158343,145.04645,-37.8052151,144.9372108,9831.0,2018-01-03,04:20:41,2805.659999999998,5:07:26,27.92
ID3716430117,,4,8,-37.7990823,144.9927579,-37.807202,145.0266373,3236.0,2018-05-09,19:42:02,865.3799999999999,19:56:27,14.68
ID3297571253,,9,3,-38.1109156,144.6541725,-37.8111649,144.9899736,45916.0,2018-03-01,00:40:37,10997.099999999999,3:43:54,62.91
ID1862154183,,5,7,-37.8149579,144.9275204,-37.8618349,144.905716,11805.0,2018-04-07,06:35:09,3797.9400000000005,7:38:26,12.5
ID5697122877,2.0,2,6,-37.8124127,144.9376431,-37.773845,144.9836895,7050.0,2018-06-01,16:47:34,1574.58,17:13:48,153.83
ID5649641386,2.0,3,5,-37.819742,145.001089,-37.7987608,144.9198481,8538.0,2018-05-20,22:44:39,2034.0000000000011,23:18:33,210.27
ID1914227970,,3,9,-37.8149589,144.9914863,-38.1109156,144.6541725,46150.0,2018-05-18,12:57:50,11046.0,16:01:56,22.22
ID1171192532,,4,6,-37.8142655,145.0060671,-37.7908183,144.9857929,4270.0,2018-03-13,01:29:13,1074.72,1:47:07,13.62
ID3434165094,1.0,2,7,-37.8102905,144.9394264,-37.8618349,144.905716,10261.0,2018-01-21,04:44:58,3364.7400000000002,5:41:02,35.05
ID3349758738,1.0,5,2,-37.8187435,144.9166258,-37.8205798,144.9487118,3404.0,2018-06-07,16:31:23,902.82,16:46:25,15.37
ID3822924322,,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-03-26,23:56:19,4911.599999999998,1:18:10,37.82
ID1673666440,0.0,7,5,-37.8618349,144.905716,-37.8045416,144.9194029,12082.0,2018-02-19,11:13:41,3877.8599999999997,12:18:18,11.0
ID1527983946,,2,7,-37.8150926,144.9412892,-37.8618349,144.905716,10001.0,2018-01-17,15:40:58,3321.42,16:36:19,12.94
ID1496687831,,3,2,-37.818374,144.971088,-37.8197896,144.9425883,2865.0,2018-01-12,19:02:21,698.3400000000001,19:13:59,8.64
ID5720987090,2.0,4,5,-37.8076554,144.9930602,-37.7963818,144.9398892,5185.0,2018-05-04,08:15:43,1305.360000000001,8:37:28,124.36
ID3632228289,,2,6,-37.8189705,144.9465947,-37.7738026,144.9836466,9611.0,2018-05-17,22:42:56,2973.2400000000002,23:32:29,31.16
ID5811759895,2.0,5,3,-37.7922014,144.9366421,-37.8196921,144.9795055,5935.0,2018-05-23,21:08:24,1539.9600000000016,21:34:03,159.47
ID3759680188,1.0,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-04-15,19:16:50,12681.059999999998,22:48:11,70.1
ID5345975876,,6,8,-37.7907967,144.985865,-37.8158343,145.04645,7470.0,2018-03-20,08:23:02,2302.38,9:01:24,208.84
ID5832120641,2.0,7,2,-37.8618349,144.905716,-37.823757,144.9475243,8738.0,2018-03-27,11:49:24,3085.9799999999996,12:40:49,274.51
ID3143195003,1.0,2,7,-37.8231903,144.9378251,-37.8618349,144.905716,9742.0,2018-01-03,18:05:50,3197.16,18:59:07,23.43
ID1939698381,0.0,5,6,-37.8044354,144.928002,-37.7907967,144.985865,6806.0,2018-05-21,06:34:12,1962.3600000000001,7:06:54,5.65
ID1370601409,,1,6,-37.8192344,144.9626062,-37.7874325,144.9803767,4414.0,2018-07-14,19:08:46,1071.96,19:26:37,12.71
