Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1417729091,0.0,2,4,-37.8206237,144.9415725,-37.8008412,145.01485449999998,7872.0,2018-01-15,22:17:23,2060.8200000000006,22:51:43,14.43
ID1349359534,0.0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-07-28,13:32:58,4917.479999999999,14:54:55,19.0
ID3511945378,0.0,1,4,-37.810522999999996,144.97605380000002,-37.81632570000001,145.00888730000003,3465.0,2018-01-24,15:17:22,862.9800000000004,15:31:44,14.74
ID1495524575,0.0,7,1,-37.8618349,144.90571599999998,-37.8198852,144.95773369999998,7953.0,2018-05-23,07:28:48,2775.9599999999987,8:15:03,8.82
ID3896182652,1.0,8,5,-37.8158343,145.04645,-37.8067703,144.9323875,10380.0,2018-05-11,07:26:35,2930.819999999999,8:15:25,17.34
ID1684291666,0.0,1,8,-37.820817299999995,144.9616649,-37.8158343,145.04645,8170.0,2018-04-01,00:44:14,2406.4800000000005,1:24:20,19.02
ID3790371284,1.0,8,1,-37.8158343,145.04645,-37.8052151,144.9372108,9831.0,2018-01-03,04:20:41,2805.659999999998,5:07:26,27.92
ID3716430117,0.0,4,8,-37.799082299999995,144.99275790000002,-37.807202000000004,145.0266373,3236.0,2018-05-09,19:42:02,865.3799999999999,19:56:27,14.68
ID3297571253,1.0,9,3,-38.1109156,144.65417250000002,-37.811164899999994,144.9899736,45916.0,2018-03-01,00:40:37,10997.1,3:43:54,62.91
ID1862154183,0.0,5,7,-37.814957899999996,144.92752040000002,-37.8618349,144.90571599999998,11805.0,2018-04-07,06:35:09,3797.9400000000014,7:38:26,12.5
ID5697122877,2.0,2,6,-37.8124127,144.93764309999997,-37.773845,144.9836895,7050.0,2018-06-01,16:47:34,1574.58,17:13:48,153.83
ID5649641386,2.0,3,5,-37.819742,145.00108899999998,-37.7987608,144.9198481,8538.0,2018-05-20,22:44:39,2034.0000000000007,23:18:33,210.27
ID1914227970,0.0,3,9,-37.8149589,144.99148630000002,-38.1109156,144.65417250000002,46150.0,2018-05-18,12:57:50,11046.0,16:01:56,22.22
ID1171192532,0.0,4,6,-37.814265500000005,145.0060671,-37.7908183,144.9857929,4270.0,2018-03-13,01:29:13,1074.72,1:47:07,13.62
ID3434165094,1.0,2,7,-37.8102905,144.9394264,-37.8618349,144.90571599999998,10261.0,2018-01-21,04:44:58,3364.74,5:41:02,35.05
ID3349758738,1.0,5,2,-37.8187435,144.91662580000002,-37.8205798,144.9487118,3404.0,2018-06-07,16:31:23,902.82,16:46:25,15.37
ID3822924322,1.0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-03-26,23:56:19,4911.5999999999985,1:18:10,37.82
ID1673666440,0.0,7,5,-37.8618349,144.90571599999998,-37.8045416,144.91940290000002,12082.0,2018-02-19,11:13:41,3877.86,12:18:18,11.0
ID1527983946,0.0,2,7,-37.81509260000001,144.9412892,-37.8618349,144.90571599999998,10001.0,2018-01-17,15:40:58,3321.42,16:36:19,12.94
ID1496687831,0.0,3,2,-37.818374,144.97108799999998,-37.8197896,144.9425883,2865.0,2018-01-12,19:02:21,698.3400000000001,19:13:59,8.64
ID5720987090,2.0,4,5,-37.8076554,144.9930602,-37.7963818,144.9398892,5185.0,2018-05-04,08:15:43,1305.360000000001,8:37:28,124.36
ID3632228289,1.0,2,6,-37.8189705,144.9465947,-37.7738026,144.98364660000001,9611.0,2018-05-17,22:42:56,2973.24,23:32:29,31.16
ID5811759895,2.0,5,3,-37.792201399999996,144.93664209999997,-37.819692100000005,144.9795055,5935.0,2018-05-23,21:08:24,1539.9600000000016,21:34:03,159.47
ID3759680188,1.0,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000002,51032.0,2018-04-15,19:16:50,12681.059999999998,22:48:11,70.1
ID5345975876,2.0,6,8,-37.7907967,144.985865,-37.8158343,145.04645,7470.0,2018-03-20,08:23:02,2302.38,9:01:24,208.84
ID5832120641,2.0,7,2,-37.8618349,144.90571599999998,-37.823757,144.9475243,8738.0,2018-03-27,11:49:24,3085.98,12:40:49,274.51
ID3143195003,1.0,2,7,-37.8231903,144.9378251,-37.8618349,144.90571599999998,9742.0,2018-01-03,18:05:50,3197.16,18:59:07,23.43
ID1939698381,0.0,5,6,-37.8044354,144.928002,-37.7907967,144.985865,6806.0,2018-05-21,06:34:12,1962.36,7:06:54,5.65
ID1370601409,0.0,1,6,-37.8192344,144.96260619999998,-37.7874325,144.9803767,4414.0,2018-07-14,19:08:46,1071.96,19:26:37,12.71
ID1591244130,0.0,1,9,-37.812819299999994,144.96084950000002,-38.1109156,144.65417250000002,43353.0,2018-03-22,03:53:02,10406.4,6:46:28,24.32
ID3722800132,1.0,6,5,-37.7874325,144.9803767,-37.8029953,144.92810690000002,6273.0,2018-06-13,16:03:54,1627.1400000000006,16:31:01,17.7
ID1159033689,0.0,9,2,-38.1109156,144.65417250000002,-37.8255049,144.92891569999998,49088.0,2018-05-06,08:45:12,11789.04,12:01:41,26.61
ID1339256135,0.0,6,8,-37.7874421,144.9804091,-37.8158343,145.04645,8357.0,2018-04-10,14:55:42,2437.38,15:36:19,11.85
ID1318464639,0.0,1,9,-37.8058744,144.9783731,-38.1109156,144.65417250000002,45080.0,2018-07-02,05:26:21,10870.26,8:27:31,27.08
ID1848935088,0.0,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-01-15,08:54:45,12099.660000000005,12:16:24,21.21
ID1364907253,0.0,4,2,-37.799371799999996,145.0050504,-37.8148646,144.9449605,6395.0,2018-01-22,02:50:33,1698.4800000000007,3:18:51,13.38
ID1667522138,0.0,1,9,-37.81355,144.9377795,-38.1109156,144.65417250000002,42933.0,2018-01-13,12:51:55,10288.98,15:43:23,24.57
ID5877973796,2.0,9,6,-38.1109156,144.65417250000002,-37.773845,144.9836895,48197.0,2018-04-27,12:57:45,11495.340000000007,16:09:20,987.97
ID1817310550,0.0,5,6,-37.8129576,144.933682,-37.7874325,144.9803767,7206.0,2018-04-08,03:36:07,1801.6800000000005,4:06:08,17.06
ID5318249901,2.0,8,2,-37.807202000000004,145.0266373,-37.8222937,144.9476247,8132.0,2018-04-04,06:10:30,2081.4600000000005,6:45:11,189.36
ID1571423300,0.0,6,2,-37.773845,144.9836895,-37.8127477,144.9443217,6488.0,2018-03-04,08:26:26,1427.2799999999993,8:50:13,10.1
ID5126881469,2.0,4,2,-37.802566299999995,144.9931222,-37.8139283,144.94414819999997,5117.0,2018-01-08,05:08:44,1313.4600000000005,5:30:37,141.87
ID1771035965,0.0,3,4,-37.818155700000005,144.96896759999998,-37.8107694,145.01276130000002,5075.0,2018-07-03,08:23:31,1253.64,8:44:24,7.11
ID1427513245,0.0,7,4,-37.8618349,144.90571599999998,-37.8115857,145.0106036,11960.0,2018-02-16,01:57:23,3799.0199999999977,3:00:42,15.54
ID1134557065,0.0,7,5,-37.8618349,144.90571599999998,-37.806265,144.9366029,10599.0,2018-06-03,21:11:42,3504.8999999999987,22:10:06,20.34
ID5279564963,2.0,6,5,-37.7874421,144.9804091,-37.796003799999994,144.93607649999998,5727.0,2018-02-11,04:27:22,1469.4000000000005,4:51:51,162.32
ID1425494958,0.0,4,6,-37.800352000000004,144.9891425,-37.7874421,144.9804091,2374.0,2018-04-15,16:01:51,584.28,16:11:35,12.754973080919576
ID3950931487,1.0,6,5,-37.7874421,144.9804091,-37.810691299999995,144.9364149,6036.0,2018-05-03,11:18:16,1532.6399999999994,11:43:48,12.13
ID3469504112,1.0,8,5,-37.807202000000004,145.0266373,-37.7995098,144.93537769999998,10867.0,2018-06-16,12:49:53,2796.0000000000005,13:36:29,28.31
